amenity,building_class,building_class_code,building_function,building_function_code,cityfurniture_class,cityfurniture_class_code,cityfurniture_function,cityfurniture_function_code,transportationcomplex_class,transportationcomplex_class_code,transportationcomplex_function,transportationcomplex_function_code,trafficarea_function,trafficarea_function_code,trafficarea_usage,trafficarea_usage_code,waterbody_class,waterbody_class_code,waterbody_function,waterbody_function_code,waterbody_usage,waterbody_usage_code,landuse_class,landuse_class_code,landuse_function,landuse_function_code
parking,traffic,1170,parking level,1620,,,,,common,1010,parking area,1610,car_park,6.0,"car, motorcycle","2,7",,,,,,,,,,
bench,,,,,other,1030,bench,1530,,,,,,,,,,,,,,,,,,
place_of_worship,church institution,1080,place of worship,2260,,,,,,,,,,,,,,,,,,,,,,
restaurant,catering,1040,restaurant,1240,,,,,,,,,,,,,,,,,,,,,,
school,"schools, education, research",1100,comprehensive school,2080,,,,,,,,,,,,,,,,,,,,,,
fuel,traffic,1170,petrol / gas station,1340,,,,,,,,,,,,,,,,,,,,,,
cafe,catering,1040,cantine,1250,,,,,,,,,,,,,,,,,,,,,,
parking_space,,,,,,,,,common,1010,parking area,1610,car_park,6.0,"car, motorcycle","2,7",,,,,,,,,,
fast_food,catering,1040,restaurant,1240,,,,,,,,,,,,,,,,,,,,,,
waste_basket,,,,,other,1030,rubbish bin,1200,,,,,,,,,,,,,,,,,,
bank,"business, trade",1030,credit institution,1130,,,,,,,,,,,,,,,,,,,,,,
bicycle_parking,,,,,,,,,,,,,,,,,,,,,,,,,,
pharmacy,healthcare,1120,pharmacy,1190,,,,,,,,,,,,,,,,,,,,,,
shelter,habitation,1000,homeless shelter,2370,,,,,,,,,,,,,,,,,,,,,,
toilets,,,toilet,1830,,,,,,,,,,,,,,,,,,,,,,
post_box,,,,,,,,,,,,,,,,,,,,,,,,,,
recycling,sanitation,1010,green house,2620,,,,,,,,,,,,,,,,,,,,,,
kindergarten,"schools, education, research",1100,kindergarten or nursery,2380,,,,,,,,,,,,,,,,,,,,,,
drinking_water,,,,,,,,,,,,,,,,,unknown,9999,watering place,1130,drinking water supply,1020,,,,
bar,catering,1040,restaurant,1240,,,,,,,,,,,,,,,,,,,,,,
grave_yard,,,,,,,,,,,,,,,,,,,,,,,Undeveloped Area,1100,Cemetary,1120
atm,,,,,,,,,,,,,,,,,,,,,,,,,,
hospital,healthcare,1120,hospital,2310,,,,,,,,,,,,,,,,,,,,,,
pub,catering,1040,restaurant,1240,,,,,,,,,,,,,,,,,,,,,,
post_office,function,1180,post office,2000,,,,,,,,,,,,,,,,,,,,,,
vending_machine,,,,,,,,,,,,,,,,,,,,,,,,,,
hunting_stand,sport,1060,hunting lodge,1920,,,,,,,,,,,,,,,,,,,,,,
police,security,1140,police station,2400,,,,,,,,,,,,,,,,,,,,,,
fountain,,,,,other,1030,fountain,1500,,,,,,,,,fountain,1230,public fountain,1100,public use,1090,,,,
townhall,administration,1020,district government,2050,,,,,,,,,,,,,,,,,,,,,,
doctors,healthcare,1120,health centre or outpatients clinic,2330,,,,,,,,,,,,,,,,,,,,,,
clinic,healthcare,1120,health centre or outpatients clinic,2330,,,,,,,,,,,,,,,,,,,,,,
community_centre,administration,1020,community center,2250,,,,,,,,,,,,,,,,,,,,,,
fire_station,security,1140,fire station,2410,,,,,,,,,,,,,,,,,,,,,,
telephone,,,,,communication,1010,telephone box,1010,,,,,,,,,,,,,,,,,,
waste_disposal,,,,,other,1030,rubbish bin,1200,,,,,,,,,,,,,,,,,,
social_facility,recreation,1050,building for social porposes,2340,,,,,,,,,,,,,,,,,,,,,,
library,"schools, education, research",1100,library,2190,,,,,,,,,,,,,,,,,,,,,,
dentist,healthcare,1120,health centre or outpatients clinic,2330,,,,,,,,,,,,,,,,,,,,,,
parking_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,
car_wash,,,,,,,,,,,,,,,,,,,,,,,,,,
public_building,administration,1020,public building,1960,,,,,,,,,,,,,,,,,,,,,,
marketplace,,,,,,,,,common,1010,marketplace,1620,,,pedestrian,1,,,,,,,,,,
bus_station,traffic,1170,building for bus station,2520,,,,,common,1010,station,1920,,,"bus, taxi",4,,,,,,,,,,
college,"schools, education, research",1100,college or university,2100,,,,,,,,,,,,,,,,,,,,,,
university,"schools, education, research",1100,college or university,2100,,,,,,,,,,,,,,,,,,,,,,
bicycle_rental,,,,,,,,,,,,,,,,,,,,,,,,,,
veterinary,,,,,,,,,,,,,,,,,,,,,,,,,,
charging_station,,,,,,,,,common,1010,station,1920,,,pedestrian,1,,,,,,,,,,
theatre,culture,1070,theatre or opera,2140,,,,,,,,,,,,,,,,,,,,,,
taxi,,,,,,,,,,,,,,,,,,,,,,,,,,
ice_cream,,,,,,,,,,,,,,,,,,,,,,,,,,
cinema,culture,1070,cinema,1280,,,,,,,,,,,,,,,,,,,,,,
water_point,,,,,,,,,,,,,,,,,unknown,9999,watering place,1130,drinking water supply,1020,,,,
courthouse,administration,1020,court,2020,,,,,,,,,,,,,,,,,,,,,,
bbq,,,,,,,,,,,,,,,,,,,,,,,,,,
car_rental,,,,,,,,,,,,,,,,,,,,,,,,,,
nightclub,recreation,1050,,,,,,,,,,,,,,,,,,,,,,,,
childcare,"schools, education, research",1100,kindergarten or nursery,2380,,,,,,,,,,,,,,,,,,,,,,
arts_centre,culture,1070,building for cultural purposes ,2120,,,,,,,,,,,,,,,,,,,,,,
ferry_terminal,,,,,,,,,common,1010,train ferry,2420,,,"boat, ferry, ship",9,,,,,,,,,,
driving_school,,,,,,,,,,,,,,,,,,,,,,,,,,
shower,,,,,,,,,,,,,,,,,unknown,9999,watering place,1130,public use,1090,,,,
clock,,,,,other,1030,clock,1210,,,,,,,,,,,,,,,,,,
grit_bin,,,,,other,1030,rubbish bin,1200,,,,,,,,,,,,,,,,,,
motorcycle_parking,,,,,,,,,common,1010,parking area,1610,,,motorcycle,7,,,,,,,,,,
