highway,transportationcomplex_class,transportationcomplex_class_code,transportationcomplex_function,transportationcomplex_function_code,trafficarea_function,trafficarea_function_code,trafficarea_usage,trafficarea_usage_code,cityfurniture_class,cityfurniture_class_code,cityfurniture_function,cityfurniture_function_code
service,common,1010,service area,1700,,,pedestrian,1,,,,
track,common,1010,footpath/footway,1220,footpath,2,pedestrian,1,,,,
footway,common,1010,footpath/footway,1220,footpath,2,pedestrian,1,,,,
path,common,1010,footpath/footway,1220,footpath,2,pedestrian,1,,,,
tertiary,road traffic,1040,road,1200,motorway,33,"car, truck, bus, taxi, motorcycle","2, 3, 4, 7",,,,
crossing,road traffic,1040,road,1200,motorway,33,"car, truck, bus, taxi, motorcycle","2, 3, 4, 7",,,,
secondary,road traffic,1040,road,1200,motorway,33,"car, truck, bus, taxi, motorcycle","2, 3, 4, 7",,,,
primary,road traffic,1040,road,1200,motorway,33,"car, truck, bus, taxi, motorcycle","2, 3, 4, 7",,,,
bus_stop,common,1010,stop,1910,,,"pedestrian, bus, taxi","1,4",,,,
turning_circle,road traffic,1040,road,1200,motorway,33,"car, truck, bus, taxi, motorcycle","2, 3, 4, 7",,,,
street_lamp,,,,,,,,,traffic,1000,lamp post,1170
traffic_signals,,,,,,,,,traffic,1000,road sign,1070
trunk,road traffic,1040,junction,1110,motorway,33,"car, truck, bus, taxi, motorcycle","2, 3, 4, 7",,,,
living_street,road traffic,1040,road,1200,motorway,33,"car, truck, bus, taxi, motorcycle","2, 3, 4, 7",,,,
cycleway,common,1010,,,cyclepath,3,bicycle,6,,,,
steps,common,1010,footpath/footway,1220,footpath,2,pedestrian,1,,,,
motorway,road traffic,1040,freeway/motorway,1010,motorway,33,"car, truck, bus, taxi, motorcycle","2, 3, 4, 7",,,,
motorway_link,road traffic,1040,freeway/motorway,1010,motorway,33,"car, truck, bus, taxi, motorcycle","2, 3, 4, 7",,,,
pedestrian,common,1010,pedestrian zone,1500,,,pedestrian,1,,,,
give_way,road traffic,1040,road,1200,motorway,33,"car, truck, bus, taxi, motorcycle","2, 3, 4, 7",,,,
trunk_link,road traffic,1040,junction,1110,motorway,33,"car, truck, bus, taxi, motorcycle","2, 3, 4, 7",,,,
primary_link,road traffic,1040,junction,1110,motorway,33,"car, truck, bus, taxi, motorcycle","2, 3, 4, 7",,,,
secondary_link,road traffic,1040,junction,1110,motorway,33,"car, truck, bus, taxi, motorcycle","2, 3, 4, 7",,,,
construction,,,,,,,,,,,,
tertiary_link,road traffic,1040,junction,1110,motorway,33,"car, truck, bus, taxi, motorcycle","2, 3, 4, 7",,,,
motorway_junction,road traffic,1040,junction,1110,motorway,33,"car, truck, bus, taxi, motorcycle","2, 3, 4, 7",,,,
road,road traffic,1040,road,1200,motorway,33,"car, truck, bus, taxi, motorcycle","2, 3, 4, 7",,,,
milestone,,,,,,,,,traffic,1000,milestone,1120
turning_loop,road traffic,1040,junction,1110,motorway,33,"car, truck, bus, taxi, motorcycle","2, 3, 4, 7",,,,
platform,rail traffic,1060,railway station,1900,train platform,19,train,5,,,,
bridleway,road traffic,1040,bridleway/bridlepath,1250,motorway,33,"car, truck, bus, taxi, motorcycle","2, 3, 4, 7",,,,
proposed,,,,,,,,,,,,
mini_roundabout,road traffic,1040,road,1200,motorway,33,"car, truck, bus, taxi, motorcycle","2, 3, 4, 7",,,,
speed_camera,,,,,,,,,,,,
emergency_access_point,,,,,,,,,,,,
rest_area,common,1010,service area,1700,,,"pedestrian, car, truck, bus, taxi, motorcycle","1, 2, 3, 4, 7",,,,
raceway,,,,,,,,,,,,
passing_place,,,,,,,,,,,,
elevator,,,,,,,,,,,,
corridor,common,1010,pedestrian zone,1500,,,pedestrian,"1, 2, 3, 4, 7",,,,
services,common,1010,service area,1700,,,"pedestrian, car, truck, bus, taxi, motorcycle","1, 2, 3, 4, 7",,,,
traffic_mirror,,,,,,,,,,,,
emergency_bay,common,1010,,,motorway_emergency lane,36,"car, truck, bus, taxi, motorcycle","2, 3, 4, 7",,,,
